Commit_num	Commit_id	Date		Files	Insert	Delete	Sum
11	db47dfc	2024-04-12	5	39	7	46
10	3c97d5d	2024-03-22	1	1	0	1
9	7873f0c	2024-03-22	1	2	3	5
8	0256c18	2024-03-22	1	0	1	1
7	a1b4e23	2024-03-21	5	16	9	25
6	7efd45d	2024-03-21	2	2	1	3
5	bdb544d	2024-03-21	9	768	0	768
4	c989f70	2024-03-21	8	762	0	762
3	343333a	2024-03-16	1	3	4	7
2	fde93f4	2024-03-15	1	115	0	115
1	4328818	2024-03-15	1	2	0	2
