Number	Commit_id	Date	Files	Insert	Delete	Sum
702	2023-05-30	6	113	16	129
703	2023-05-30	9	29	29	58
704	2023-05-30	9	8	2	10
705	2023-06-01	5	29	10	39
706	2023-06-01	9	9	3	12
707	2023-06-02	8	7	4	11
708	2023-06-02	9	8	2	10
709	2023-06-03	9	9	3	12
710	2023-06-04	9	8	2	10
711	2023-06-04	9	9	3	12
712	2023-06-05	0	0	0	0
713	2023-06-05	1	97	0	97
714	2023-06-05	2	2	2	4
715	2023-06-05	9	8	2	10
716	2023-06-05	9	8	2	10
717	2023-06-07	9	8	2	10
718	2023-06-08	9	8	2	10
719	2023-06-08	9	9	3	12
720	2023-06-09	9	8	2	10
721	2023-06-10	9	8	2	10
722	2023-06-11	9	8	2	10
723	2023-06-12	9	8	2	10
724	2023-06-13	8	8	2	10
725	2023-06-14	9	10	4	14
726	2023-06-14	9	9	3	12
727	2023-06-14	9	9	3	12
728	2023-06-14	9	9	3	12
729	2023-06-15	9	11	5	16
730	2023-06-17	9	8	2	10
731	2023-06-18	9	8	2	10
732	2023-06-18	9	9	3	12
733	2023-06-19	9	8	2	10
734	2023-06-20	9	8	2	10
735	2023-06-20	9	9	3	12
736	2023-06-22	9	8	2	10
737	2023-06-22	9	8	2	10
738	2023-06-23	9	8	2	10
739	2023-06-24	9	30	15	45
740	2023-06-25	9	8	2	10
741	2023-06-26	8	9	3	12
742	2023-06-26	9	8	2	10
743	2023-06-27	9	9	3	12
744	2023-06-28	9	8	2	10
745	2023-06-29	9	8	2	10
746	2023-07-02	12	584	529	1113
747	2023-07-02	7	41	0	41
748	2023-07-02	9	8	2	10
749	2023-07-04	4	98	4	102
750	2023-07-04	8	11	5	16
751	2023-07-05	3	19	12	31
752	2023-07-05	9	8	2	10
753	2023-07-06	3	18	8	26
754	2023-07-06	9	8	2	10
755	2023-07-07	9	8	2	10
756	2023-07-08	9	8	2	10
757	2023-07-08	9	8	2	10
758	2023-07-09	11	27	4	31
759	2023-07-09	6	104	0	104
760	2023-07-10	11	30	5	35
761	2023-07-10	11	32	5	37
762	2023-07-10	6	104	0	104
763	2023-07-10	6	107	0	107
764	2023-07-11	9	10	4	14
765	2023-07-12	9	8	2	10
766	2023-07-13	1	15	1	16
767	2023-07-13	9	11	5	16
768	2023-07-13	9	8	2	10
769	2023-07-13	9	8	2	10
770	2023-07-13	9	9	3	12
771	2023-07-14	9	11	5	16
772	2023-07-14	9	8	2	10
773	2023-07-15	9	8	2	10
774	2023-07-16	11	163	4	167
775	2023-07-17	10	14	9	23
776	2023-07-17	11	36	5	41
777	2023-07-17	4	4	4	8
778	2023-07-17	6	98	0	98
779	2023-07-17	9	9	3	12
780	2023-07-17	9	9	3	12
781	2023-07-18	11	44	11	55
782	2023-07-18	7	193	0	193
783	2023-07-19	100	31059572	20	31059592
784	2023-07-19	9	10	4	14
785	2023-07-19	9	10	4	14
786	2023-07-20	11	38	9	47
787	2023-07-20	9	9	3	12
788	2023-07-21	11	37	4	41
789	2023-07-21	3	60	42	102
790	2023-07-21	6	150	0	150
791	2023-07-21	9	9	3	12
792	2023-07-22	3	34	6	40
793	2023-07-22	6	44	25	69
794	2023-07-22	9	8	2	10
795	2023-07-22	9	9	3	12
796	2023-07-25	4	20	3	23
797	2023-07-25	9	8	2	10
798	2023-07-26	10	257	0	257
799	2023-07-26	11	39	4	43
800	2023-07-27	11	10	4	14
801	2023-07-27	6	12	11	23
802	2023-07-28	11	11	5	16
803	2023-07-28	11	16	7	23
804	2023-07-28	11	17	5	22
805	2023-07-28	15	210	16	226
806	2023-07-28	9	12	6	18
807	2023-07-29	13	195	139	334
808	2023-07-29	17	506	0	506
809	2023-07-29	8	7	4	11
810	2023-07-29	8	8	5	13
811	2023-07-29	9	8	2	10
812	2023-07-30	11	72	30	102
813	2023-07-30	6	31	27	58
814	2023-07-31	5	19	33	52
815	2023-07-31	6	56	13	69
816	2023-07-31	9	9	3	12
817	2023-07-31	9	9	3	12
818	2023-08-01	4	57	15	72
819	2023-08-01	9	8	2	10
820	2023-08-02	4	61	40	101
821	2023-08-02	9	8	2	10
822	2023-08-03	4	34	28	62
823	2023-08-03	9	8	2	10
824	2023-08-04	1	4	7	11
825	2023-08-04	10	12	6	18
826	2023-08-04	3	9	11	20
827	2023-08-04	9	8	2	10
828	2023-08-04	9	8	2	10
829	2023-08-05	11	74	7	81
830	2023-08-06	11	72	5	77
831	2023-08-06	4	48	28	76
832	2023-08-07	7	62	39	101
833	2023-08-07	9	9	3	12
834	2023-08-08	2	3	2	5
835	2023-08-08	9	8	2	10
836	2023-08-09	11	83	10	93
837	2023-08-09	8	158	0	158
838	2023-08-10	3	40	9	49
839	2023-08-10	9	9	3	12
840	2023-08-11	2	43	0	43
841	2023-08-11	9	8	2	10
842	2023-08-12	2	18	21	39
843	2023-08-12	9	8	2	10
844	2023-08-13	9	8	2	10
845	2023-08-13	9	80	29	109
846	2023-08-14	11	52	31	83
847	2023-08-14	3	40	13	53
848	2023-08-14	4	12	40	52
849	2023-08-14	5	115	100	215
850	2023-08-14	9	11	5	16
851	2023-08-14	9	9	3	12
852	2023-08-15	11	11	5	16
853	2023-08-15	5	35	2	37
854	2023-08-16	4	14	2	16
855	2023-08-16	9	9	3	12
856	2023-08-20	4	23	1	24
857	2023-08-20	7	8	2	10
